[01:35:15]SEQUENCE Crop img with gimp has started
[01:35:15]UIScan - WindowSearch name : gimp_open, type: PIXEL
[01:35:15]UIScan - WindowSearch SUCCESS (found) - name : gimp_open, type: PIXEL
[01:35:15]ACTION - name : copyPrintscreen, type: CTRL_SHIFT_KEY
[01:35:15]UIScan - WindowSearch name : gimp_image_menu_open, type: PIXEL
[01:35:15]UIScan - WindowSearch FAILURE (not found) - name : gimp_image_menu_open, type: PIXEL
[01:35:15]ACTION - name : openMenu, type: CLICK_LEFT
[01:35:15]UIScan - WindowSearch name : gimp_image_menu_open, type: PIXEL
[01:35:15]UIScan - WindowSearch FAILURE (not found) - name : gimp_image_menu_open, type: PIXEL
[01:35:15]ACTION - name : openMenu, type: CLICK_LEFT
[01:35:15]UIScan - WindowSearch name : gimp_image_menu_open, type: PIXEL
[01:35:15]UIScan - WindowSearch FAILURE (not found) - name : gimp_image_menu_open, type: PIXEL
[01:35:15]ACTION - name : openMenu, type: CLICK_LEFT
[01:35:16]UIScan - WindowSearch name : gimp_image_menu_open, type: PIXEL
[01:35:16]UIScan - WindowSearch SUCCESS (found) - name : gimp_image_menu_open, type: PIXEL
[01:35:16]UIScan - WindowSearch name : gimp_canvas_menu_open, type: PIXEL
[01:35:16]UIScan - WindowSearch FAILURE (not found) - name : gimp_canvas_menu_open, type: PIXEL
[01:35:16]ACTION - name : openCanvasMenu, type: CLICK_LEFT
[01:35:16]UIScan - WindowSearch name : gimp_canvas_menu_open, type: PIXEL
[01:35:16]UIScan - WindowSearch FAILURE (not found) - name : gimp_canvas_menu_open, type: PIXEL
[01:35:16]ACTION - name : openCanvasMenu, type: CLICK_LEFT
[01:35:16]UIScan - WindowSearch name : gimp_canvas_menu_open, type: PIXEL
[01:35:16]UIScan - WindowSearch FAILURE (not found) - name : gimp_canvas_menu_open, type: PIXEL
[01:35:16]ACTION - name : openCanvasMenu, type: CLICK_LEFT
[01:35:16]UIScan - WindowSearch name : gimp_canvas_menu_open, type: PIXEL
[01:35:16]UIScan - WindowSearch SUCCESS (found) - name : gimp_canvas_menu_open, type: PIXEL
[01:35:16]SEQUENCE Crop img with gimp has ended
